No,주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,경도,위도
1,144-1-000001,공영주차장(감전중고차시장),공영,노상,부산광역시 사상구 감전동 156-1,부산광역시 사상구 학감대로221번길 26,108,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.1513049715503,128.988679470882,2019-03-22,,
2,144-1-000002,감전시장주변,공영,노상,부산광역시 사상구 감전동 132-7,부산광역시 사상구 대동로 303,117,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.154654140016,128.986137351629,2019-03-22,,
3,144-1-000003,파라곤호텔주변,공영,노상,부산광역시 사상구 괘법동 565-6,부산광역시 사상구 광장로 34,36,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.1620882334361,128.980498876239,2019-03-22,,
4,144-1-000004,학장지구대주변,공영,노상,부산광역시 사상구 학장동 242-1,부산광역시 사상구 대동로 205,233,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.1454819136952,128.98305201556,2019-03-22,,
5,144-1-000005,한국강관주변,공영,노상,부산광역시 사상구 감전동 949-7,부산광역시 사상구 장인로17번길 78,341,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.1476714009667,128.972823979989,2019-03-22,,
6,144-1-000006,위생처리장주변,공영,노상,부산광역시 사상구 감전동 509-11,부산광역시 사상구 낙동대로943번길 157,272,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.1368312352222,128.968490812829,2019-03-22,,
7,144-1-000007,동영공업주변,공영,노상,부산광역시 사상구 학장동 748-1,부산광역시 사상구 학장로95번길 47,452,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.1403317302859,128.977949355356,2019-03-22,,
8,144-1-000008,공영주차장(주례역),공영,노상,부산광역시 사상구 주례동 506,부산광역시 사상구 가야대로 288,22,2,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,300,10,300,,8000,90000,현금,,부산광역시 사상구청,051-310-4502,35.1500068447894,129.004086134859,2019-03-22,,
9,144-1-000009,공영주차장(사상초등학교),공영,노상,부산광역시 사상구 덕포동 752-3,부산광역시 사상구 운산로 81,31,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.1675979815802,128.985126641179,2019-03-22,,
10,144-1-000010,공영주차장(사상전화국),공영,노상,부산광역시 사상구 학장동 281-9,부산광역시 사상구 가야대로176번길 53,267,4,미시행,평일+토요일,08:00,20:00,08:00,15:00,00:00,00:00,유료,10,100,10,100,,2400,30000,현금,,부산광역시 사상구청,051-310-4502,35.1471313602205,128.99153982806,2019-03-22,,
