,시도명,시군구명,단속동,단속건수,,,,,
2017,서울특별시,송파구,가락1동,2912,,,,,
2018,서울특별시,송파구,가락1동,3903,,,,,
2019,서울특별시,송파구,가락1동,1689,,,,,
2017,서울특별시,송파구,가락2동,4196,,,,,
2018,서울특별시,송파구,가락2동,2906,,,,,
2019,서울특별시,송파구,가락2동,1324,,,,,
2017,서울특별시,송파구,가락동,9155,,,,,
2018,서울특별시,송파구,가락동,8340,,,,,
2019,서울특별시,송파구,가락동,2185,,,,,
2017,서울특별시,송파구,가락본동,10848,,,,,
2018,서울특별시,송파구,가락본동,11242,,,,,
2019,서울특별시,송파구,가락본동,4446,,,,,
2017,서울특별시,송파구,거여1동,1463,,,,,
2018,서울특별시,송파구,거여1동,1794,,,,,
2019,서울특별시,송파구,거여1동,796,,,,,
2017,서울특별시,송파구,거여2동,2340,,,,,
2018,서울특별시,송파구,거여2동,2057,,,,,
2019,서울특별시,송파구,거여2동,342,,,,,
2017,서울특별시,송파구,거여동,4508,,,,,
2018,서울특별시,송파구,거여동,3794,,,,,
2019,서울특별시,송파구,거여동,833,,,,,
2017,서울특별시,송파구,마천1동,2384,,,,,
2018,서울특별시,송파구,마천1동,1799,,,,,
2019,서울특별시,송파구,마천1동,586,,,,,
2017,서울특별시,송파구,마천2동,2670,,,,,
2018,서울특별시,송파구,마천2동,2365,,,,,
2019,서울특별시,송파구,마천2동,1650,,,,,
2017,서울특별시,송파구,마천동,1557,,,,,
2018,서울특별시,송파구,마천동,1372,,,,,
2019,서울특별시,송파구,마천동,182,,,,,
2017,서울특별시,송파구,문정1동,3567,,,,,
2018,서울특별시,송파구,문정1동,3024,,,,,
2019,서울특별시,송파구,문정1동,1288,,,,,
2017,서울특별시,송파구,문정2동,10344,,,,,
2018,서울특별시,송파구,문정2동,5955,,,,,
2019,서울특별시,송파구,문정2동,2378,,,,,
2017,서울특별시,송파구,문정동,11828,,,,,
2018,서울특별시,송파구,문정동,12571,,,,,
2019,서울특별시,송파구,문정동,4599,,,,,
2017,서울특별시,송파구,방이1동,2588,,,,,
2018,서울특별시,송파구,방이1동,3599,,,,,
2019,서울특별시,송파구,방이1동,2119,,,,,
2017,서울특별시,송파구,방이2동,5192,,,,,
2018,서울특별시,송파구,방이2동,8265,,,,,
2019,서울특별시,송파구,방이2동,2806,,,,,
2017,서울특별시,송파구,방이동,8324,,,,,
2018,서울특별시,송파구,방이동,6633,,,,,
2019,서울특별시,송파구,방이동,1735,,,,,
2017,서울특별시,송파구,삼전동,6782,,,,,
2018,서울특별시,송파구,삼전동,6294,,,,,
2019,서울특별시,송파구,삼전동,2980,,,,,
2017,서울특별시,송파구,석촌동,7954,,,,,
2018,서울특별시,송파구,석촌동,6774,,,,,
2019,서울특별시,송파구,석촌동,2516,,,,,
2017,서울특별시,송파구,송파1동,6798,,,,,
2018,서울특별시,송파구,송파1동,5635,,,,,
2019,서울특별시,송파구,송파1동,2396,,,,,
2017,서울특별시,송파구,송파2동,1914,,,,,
2018,서울특별시,송파구,송파2동,1990,,,,,
2019,서울특별시,송파구,송파2동,532,,,,,
2017,서울특별시,송파구,송파동,2461,,,,,
2018,서울특별시,송파구,송파동,1332,,,,,
2019,서울특별시,송파구,송파동,645,,,,,
2017,서울특별시,송파구,신천동,7886,,,,,
2018,서울특별시,송파구,신천동,6372,,,,,
2019,서울특별시,송파구,신천동,2950,,,,,
2017,서울특별시,송파구,오금동,8178,,,,,
2018,서울특별시,송파구,오금동,7097,,,,,
2019,서울특별시,송파구,오금동,2371,,,,,
2017,서울특별시,송파구,오륜동,2307,,,,,
2018,서울특별시,송파구,오륜동,844,,,,,
2019,서울특별시,송파구,오륜동,140,,,,,
2017,서울특별시,송파구,위례동,6076,,,,,
2018,서울특별시,송파구,위례동,572,,,,,
2019,서울특별시,송파구,위례동,284,,,,,
2017,서울특별시,송파구,잠실2동,718,,,,,
2018,서울특별시,송파구,잠실2동,1047,,,,,
2019,서울특별시,송파구,잠실2동,164,,,,,
2017,서울특별시,송파구,잠실3동,584,,,,,
2018,서울특별시,송파구,잠실3동,599,,,,,
2019,서울특별시,송파구,잠실3동,363,,,,가락1동,
2017,서울특별시,송파구,잠실4동,868,,,,가락1동,
2018,서울특별시,송파구,잠실4동,430,,,,가락1동,
2019,서울특별시,송파구,잠실4동,45,,,,가락2동,
2017,서울특별시,송파구,잠실6동,2371,,,,가락2동,
2018,서울특별시,송파구,잠실6동,1094,,,,가락2동,
2019,서울특별시,송파구,잠실6동,670,,,,가락동,
2017,서울특별시,송파구,잠실7동,5053,,,,가락동,
2018,서울특별시,송파구,잠실7동,3666,,,,가락동,
2019,서울특별시,송파구,잠실7동,189,,,,가락본동,
2017,서울특별시,송파구,잠실동,13676,,,,가락본동,
2018,서울특별시,송파구,잠실동,9069,,,,가락본동,
2019,서울특별시,송파구,잠실동,2991,,,,거여1동,
2017,서울특별시,송파구,잠실본동,8452,,,,거여1동,
2018,서울특별시,송파구,잠실본동,6882,,,,거여1동,
2019,서울특별시,송파구,잠실본동,4048,,,,거여2동,
2017,서울특별시,송파구,장지동,3067,,,,거여2동,
2018,서울특별시,송파구,장지동,3458,,,,거여2동,
2019,서울특별시,송파구,장지동,1533,,,,거여동,
2017,서울특별시,송파구,풍납1동,3028,,,,거여동,
2018,서울특별시,송파구,풍납1동,3156,,,,거여동,
2019,서울특별시,송파구,풍납1동,404,,,,마천1동,
2017,서울특별시,송파구,풍납2동,4884,,,,마천1동,
2018,서울특별시,송파구,풍납2동,4482,,,,마천1동,
2019,서울특별시,송파구,풍납2동,2815,,,,마천2동,
2017,서울특별시,송파구,풍납동,1989,,,,마천2동,
