주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
280-2-000010,(구)전원식당,공영,노외,,충청북도 괴산군 괴산읍 동부리 621-3,17,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.810621,127.7930517,2018-09-13,4460000,충청북도 괴산군
280-2-000009,공영주차장(보훈회관 옆),공영,노외,충청북도 괴산군 괴산읍 동부리 751-85,충청북도 괴산군 청천면 청천리 62-50번지,27,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.659279,127.737582,2018-09-13,4460000,충청북도 괴산군
280-2-000008,후평하상주차장,공영,노외,충청북도 괴산군 청천면 후평도원로 129-12,충청북도 괴산군 청천면 후평리 200번지,100,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.694955,127.805191,2018-09-13,4460000,충청북도 괴산군
280-2-000007,칠성생활체육공원주차장,공영,노외,,충청북도 괴산군 칠성면 도정리 246-2번지,20,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.788781,127.863618,2018-09-13,4460000,충청북도 괴산군
280-2-000006,문화예술회관주차장,공영,노외,,충청북도 괴산군 괴산읍 동부리 751-85번지,80,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.807471,127.795307,2018-09-13,4460000,충청북도 괴산군
280-2-000005,시장주차장,공영,노외,,충청북도 괴산군 괴산읍 동부리 512-5번지,9,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.811429,127.794883,2018-09-13,4460000,충청북도 괴산군
280-2-000004,공영주차장(신협앞),공영,노외,,충청북도 괴산군 괴산읍 동부리 598-2번지,28,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.809894,127.793957,2018-09-13,4460000,충청북도 괴산군
280-2-000003,공영주차장(우체국),공영,노외,,충청북도 괴산군 괴산읍 동부리 673-8번지,24,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.808699,127.792226,2018-09-13,4460000,충청북도 괴산군
280-2-000002,괴산군 전통시장주차장,공영,노외,충청북도 괴산군 괴산읍 읍내로15길 8-8,충청북도 괴산군 괴산읍 동부리 510번지,18,1,미시행,평일+토요일+공휴일,23:59,23:59,23:59,23:59,23:59,23:59,무료,0,0,,,,,,,,충청북도 괴산군청,043-830-3562,36.811168,127.795118,2018-09-13,4460000,충청북도 괴산군
314-1-000001,남대천변 좌안,공영,노상,전라북도 무주군 무주읍 읍내리 1255,전라북도 무주군 무주읍 읍내리 1255,123,1,미시행,평일+토요일+공휴일,12:00,0:00,12:00,0:00,12:00,0:00,무료,24,0,0,0,0,0,0,무료,,전라북도 무주군청,063-320-2365,36.004424,127.648748,2018-08-22,4740000,전라북도 무주군
