BAS_MGT_SN,CTP_KOR_NM,SIG_CD,SIG_KOR_NM,BAS_ID,BAS_AR,NTFC_DE,MVMN_DE,MVMN_RESN,OPERT_DE
1150000111,서울특별시,11500,강서구,07512,0.06,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000112,서울특별시,11500,강서구,07513,0.046,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000113,서울특별시,11500,강서구,07510,0.101,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000114,서울특별시,11500,강서구,07509,0.064,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000115,서울특별시,11500,강서구,07520,2.452,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000185,서울특별시,11500,강서구,07502,0.257,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000186,서울특별시,11500,강서구,07763,0.044,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000191,서울특별시,11500,강서구,07655,0.093,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000192,서울특별시,11500,강서구,07664,0.12,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000262,서울특별시,11500,강서구,07557,0.051,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000263,서울특별시,11500,강서구,07555,0.03,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000264,서울특별시,11500,강서구,07666,0.032,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000265,서울특별시,11500,강서구,07669,0.161,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000266,서울특별시,11500,강서구,07786,0.036,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000267,서울특별시,11500,강서구,07778,0.017,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000268,서울특별시,11500,강서구,07770,0.02,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000193,서울특별시,11500,강서구,07730,0.134,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000194,서울특별시,11500,강서구,07656,0.104,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000195,서울특별시,11500,강서구,07675,0.118,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000196,서울특별시,11500,강서구,07661,0.134,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000269,서울특별시,11500,강서구,07714,0.029,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000270,서울특별시,11500,강서구,07715,0.036,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000204,서울특별시,11500,강서구,07719,0.03,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000282,서울특별시,11500,강서구,07562,0.022,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000283,서울특별시,11500,강서구,07563,0.038,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000284,서울특별시,11500,강서구,07503,0.284,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000285,서울특별시,11500,강서구,07514,0.049,20121221,20121221,국가기초구역 최초생성,20121221000000
1150000286,서울특별시,11500,강서구,07640,0.154,20121221,20121221,국가기초구역 최초생성,20121221000000
