"고유번호","시군구코드","도로위계기능구분","작업일시","도로구간일련번호","X 좌표","Y 좌표"
"63","11545"," "," ","0","191536.74","439885.16"
"220","11215","4"," ","2824","207542.099","447987.61"
"863","11545"," "," ","0","191496.344","441188.17"
"19","11230","4"," ","2293","205623.152","451875.124"
"20","11230","4"," ","2292","205648.191","451908.229"
"3728","11290","4"," ","1","200536.328","454680.734"
"3845","11215","4"," ","2046","207161.007","447770.002"
"6052","11305"," "," ","0","201851.873","459511.879"
"22","11545","4"," ","1168","191975.376","438843.154"
"23","11545","4"," ","1077","191755.861","438837.973"
"7930","11560"," "," ","0","191569.582","444583.398"
"97","11290","4"," ","1","199456.373","455049.031"
"98","11110","4"," ","1","202048.486","452497.924"
"10549","11560"," "," ","0","191780.154","447262.969"
"99","11290","4"," ","1","199541.391","455040.777"
"12502","11560"," "," ","0","192013.489","446076.265"
"11349","11230"," "," ","0","202868.291","453678.564"
"11340","11560"," "," ","0","193396.826","446581.302"
"100","11290","4"," ","1","200026.134","457168.659"
"1","11215","4"," ","1044","207484.308","451082.288"
"145","11290","4"," ","1","199745.952","455614.22"
"282","11560","3"," ","3470","189323.747","447172.098"
"17858","11560"," "," ","0","191368.158","445408.709"
"16176","11305"," "," ","0","202242.658","458355.23"
"287","11230","4"," ","291","205220.1","452184.977"
"290","11560"," "," ","0","192566.912","444425.696"
"292","11560"," "," ","0","192211.541","445097.974"
"295","11560"," "," ","0","192221.584","445154.543"
"20327","11560"," "," ","0","191049.073","443448.922"
"297","11560"," "," ","0","192452.229","445425.091"
"23009","11305"," "," ","0","201221.632","460650.754"
"302","11290","4"," ","1","200160.674","457286.269"
"23748","11410"," "," ","0","195926.505","454500.102"
"22484","11650"," "," ","0","203025.604","440343.272"
"25115","11200"," "," ","0","203114.215","450936.438"
"24925","11530"," "," ","0","187319.234","444686.054"
"303","11560"," "," ","0","192558.822","445327.455"
"26915","11410"," "," ","0","195940.947","454588.382"
"304","11560"," "," ","0","192533.271","445300.538"
"306","11560"," "," ","0","192588.421","445276.091"
"26611","11530"," "," ","0","189441.049","443666.751"
"28057","11305"," "," ","0","202194.674","457798.941"
"309","11560"," "," ","0","192054.472","444593.121"
"310","11560"," "," ","0","191820.637","444489.5"
"311","11560"," "," ","0","191895.505","444487.449"
"30458","11560"," "," ","0","193069","445147.344"
"312","11410","3"," ","2520","194061.082","452123.067"
"289","11230"," "," ","0","205419.621","451908.299"
"263","11215"," "," ","0","206804.355","448266.597"
"36326","11290","4"," ","1","205650.765","456225.455"
"38814","11305"," "," ","0","201738.518","459635.24"
"265","11410","4"," ","994","194462.375","454241.654"
"37820","11215","4"," ","1515","206189.984","449760.8"
"38042","11440"," "," ","0","190529.996","451006.589"
"40114","11545"," "," ","0","191258.652","440250.862"
"487","11305"," "," ","0","201822.673","459525.707"
"489","11305"," "," ","0","201343.274","459452.576"
"39393","11305"," "," ","0","202680.603","460004.668"
"491","11290","4"," ","1","200193.828","457281.392"
"354","11560"," "," ","0","192606.065","445341.364"
"430","11290","4"," ","1","200578.828","454230.577"
"433","11230","4"," ","2456","205621.612","451551.261"
"434","11230","4"," ","240","205107.927","452127.568"
"584","11545"," "," ","0","192196.106","439402.76"
"585","11545"," ","20110128","0","192212.391","439323.511"
"47264","11530"," "," ","0","186241.194","444494.857"
"47546","11305"," "," ","0","201371.745","460849.925"
"587","11545"," "," ","0","192204.078","439236.098"
"46882","11305"," "," ","0","202697.376","457691.186"
"46375","11230"," "," ","0","205868.405","453934.952"
"7","11110","4","20091016","1","198705.241","452472.839"
"25","11110","4"," ","1","198362.611","453407.358"
"27","11545"," ","20100608","0","191791.589","440281.22"
"28","11110","4","20101220","1","198605.146","453406.395"
"29","11110","4"," ","1","201837.843","452640.268"
"34","11230","4"," ","1664","205399.617","455513.685"
"38","11110","4","20100503","1","196082.996","457249.692"
"41","11215","3","20070531","2461","207228.476","448035.915"
"43","11215","4"," ","927","207252.395","451011.962"
"46","11545"," "," ","0","191587.461","440242.409"
"48","11110","4","20090504","1","198568.062","453835.369"
