"고유번호","시군구코드","도로위계기능구분","작업일시","도로구간일련번호","위도","경도"
"69","11545"," "," ","0","37.4645448","126.9017187"
"221","11680","4","20080722","1161","37.519419","127.0310306"
"1077","11680"," "," ","0","37.5166913","127.0289937"
"1423","11680"," ","20080716","0","37.5244089","127.0564665"
"1692","11140","4","20100824","234","37.5547291","127.0076698"
"1835","11410","4"," ","709","37.5616997","126.9544991"
"4048","11290","4"," ","1","37.614909","127.0495385"
"4303","11260"," "," ","0","37.5888172","127.0959516"
"3291","11560"," "," ","0","37.5124455","126.9116937"
"6","11215","4"," ","1140","37.5584449","127.0904523"
"3415","11560"," "," ","0","37.5013864","126.9014923"
"5373","11440","4","20081222","1285","37.5570971","126.9252926"
"5409","11305"," "," ","0","37.6337681","127.022517"
"5461","11305"," "," ","0","37.6352174","127.0209807"
"5834","11440"," "," ","0","37.5659058","126.8952982"
"7","11215"," "," ","0","37.5338749","127.076985"
"6770","11260","4"," ","2934","37.6116429","127.0805724"
"7494","11305"," "," ","0","37.6369843","127.0151383"
"8140","11440","4"," ","2307","37.5654823","126.9156936"
"8293","11740"," "," ","0","37.5454367","127.1184443"
"9694","11290","4"," ","1","37.6050078","127.0129293"
"9191","11530"," "," ","0","37.4874711","126.8832348"
"9301","11290","4"," ","1","37.6089642","127.0261955"
"9622","11290","4"," ","1","37.6132578","127.004522"
"10754","11740"," "," ","0","37.5621932","127.1699982"
"10943","11620"," "," ","0","37.4850002","126.903524"
"12365","11305"," "," ","0","37.6263074","127.0206074"
"13543","11410","4"," ","628","37.5598141","126.9592407"
"13053","11290","4"," ","1","37.6095888","127.031864"
"14373","11230","4","20070915","544","37.5764282","127.0328743"
"16047","11230","4"," ","1976","37.582422","127.0534329"
"16627","11680"," ","20080730","0","37.5036526","127.0651252"
"17055","11440","4","20081204","687","37.5606801","126.9199179"
"17987","11680","4","20080901","550","37.4977851","127.0349923"
"18611","11440","3","20070928","99","37.5556474","126.9183753"
"18434","11650","4"," ","69","37.5047349","127.0217477"
"20347","11530"," "," ","0","37.4821559","126.8513651"
"19628","11650","4"," ","326","37.509071","127.0187673"
"19741","11230","4"," ","3021","37.5697206","127.0526061"
"22204","11305"," "," ","0","37.6478421","127.0202782"
"22605","11290","4"," ","1","37.6072306","127.0603917"
"23903","11290","4"," ","1","37.6088091","127.0563397"
"26099","11590"," ","20101028","0","37.5011336","126.9486902"
"8","11215","4"," ","2111","37.5562308","127.078174"
"26356","11305"," "," ","0","37.623536","127.0334354"
"25611","11680"," "," ","0","37.5076545","127.0302261"
"26491","11410","3"," ","2836","37.5953498","126.9391947"
"26490","11410","3"," ","579","37.5953686","126.9392189"
"27263","11440","4"," ","2617","37.5533429","126.9455097"
"27782","11290","4"," ","1","37.5935781","127.0211626"
"28815","11200","4"," ","815","37.5374681","127.0505819"
"9","11215","4"," ","2437","37.5433329","127.0906099"
"32385","11410","4"," ","2327","37.581124","126.9094681"
"32741","11680","4","20080808","97","37.4933736","127.0399043"
"31576","11710","3","20070706","1494","37.5146746","127.1018614"
"30513","11215","4"," ","665","37.5612307","127.0858985"
"11","11215","4"," ","2486","37.5291349","127.0805504"
"30694","11215","3"," ","1684","37.5409316","127.0891125"
"12","11215","4"," ","2824","37.5313555","127.085329"
"35558","11215","4"," ","1369","37.5337832","127.0664335"
"34303","11305"," "," ","0","37.6450004","127.0089992"
"33681","11170","4"," ","1264","37.5329167","126.9954673"
"34123","11290","4"," ","1","37.5923697","126.9890989"
"36643","11230","4"," ","952","37.5996285","127.0670558"
"36019","11305"," "," ","0","37.6439224","127.0089751"
"14","11215","3","20071212","1318","37.5471625","127.1025694"
"37337","11440","4"," ","1486","37.5453228","126.9485693"
"38141","11545","4"," ","540","37.4609453","126.8995668"
"37721","11545"," "," ","0","37.4692599","126.8907334"
"38789","11545","4"," ","948","37.4533134","126.9111603"
"15","11215","3","20071212","1319","37.5472494","127.102906"
"42219","11410","4"," ","257","37.5697851","126.9255157"
"17","11215","4","20071212","1320","37.547349","127.1026282"
"18","11215","4"," ","1050","37.5585758","127.0846956"
"43925","11215","4"," ","1095","37.556712","127.0831617"
"44566","11740","4"," ","1229","37.5468776","127.1251971"
"44853","11290","4"," ","1","37.6080489","127.0152086"
"46144","11560"," "," ","0","37.4965789","126.9072761"
"45073","11260","4"," ","1603","37.5891824","127.0996907"
"47703","11560"," "," ","0","37.4990515","126.9064354"
"48184","11545","4"," ","886","37.4496313","126.9060264"
"4584","11290","4"," ","1","37.5906776","127.0053574"
"5372","11410","4"," ","662","37.5706687","126.9604116"
"5807","11680"," "," ","0","37.4876957","127.0463048"
"6853","11260"," "," ","0","37.582536","127.0851299"
"22474","11530"," "," ","0","37.4962828","126.840889"
"18427","11650"," "," ","0","37.5113706","127.0084878"
"23","11545"," "," ","0","37.4574178","126.9041266"
"33111","11290","4"," ","1","37.6060413","126.9943142"
"25","11545"," "," ","0","37.4495328","126.9078538"
"26","11545","4"," ","1267","37.449371","126.9074696"
"27","11545","4"," ","410","37.4494401","126.9071639"
"29","11230","4"," ","2294","37.5659809","127.0634342"
"30","11230","4"," ","2294","37.5663132","127.063553"
"32","11230","4"," ","2293","37.5663956","127.0636484"
"33","11545"," "," ","0","37.4492074","126.9067187"
"36","11545","4"," ","1168","37.4489593","126.9093115"
"37","11230","4"," ","2871","37.5643055","127.0605694"
"39","11230","4"," ","2874","37.5644633","127.0608086"
"40","11230","4"," ","2873","37.5646579","127.0608423"
"42","11230","4"," ","3412","37.5787038","127.0538842"
"46","11110","4"," ","1","37.5738707","126.9680066"
"47","11110","4","20100426","1","37.5729142","126.9675916"
"49","11215","4"," ","1000","37.5592889","127.0838599"
"50","11110","4"," ","1","37.5715192","127.0231249"
"52","11215","4"," ","1017","37.5598402","127.0816067"
"53","11230","4"," ","1660","37.5989883","127.0609057"
"54","11230","4"," ","3396","37.5785384","127.0554384"
"55","11215"," "," ","0","37.550577","127.091606"
"56","11545"," "," ","0","37.4615633","126.9049117"
"57","11230","4"," ","1660","37.5989999","127.060784"
"59","11545","4","20130503103443","0","37.4631594","126.9044052"
"60","11545","4","20130503103443","0","37.462961","126.9045606"
"61","11110","4"," ","1","37.5720219","127.0231886"
"65","11215","4","20071212","1304","37.546107","127.104526"
"71","11545"," "," ","0","37.4575937","126.9046601"
"73","11230","4"," ","338","37.5655453","127.0624501"
"74","11230","4"," ","336","37.5662079","127.0633027"
"75","11545","3"," ","584","37.4493021","126.9057738"
"78","11230","4"," ","2865","37.5633326","127.0598658"
"79","11230","4"," ","2870","37.5645886","127.0605917"
"81","11230","4"," ","1660","37.5988472","127.061034"
"83","11545"," ","20100608","0","37.4619148","126.9072185"
"85","11215","4"," ","2485","37.5292265","127.0802399"
"86","11215","4","20070823","1254","37.553402","127.093813"
"90","11215","4","20070823","1248","37.552667","127.0949402"
"91","11215","4","20070319","237","37.5329778","127.0877317"
"92","11215","4","20071109","2871","37.5403727","127.0905427"
"93","11215","4","20070712","2816","37.534028","127.0792171"
"95","11290","4"," ","1","37.5924224","127.000069"
"98","11290","4","20100910","1","37.5874497","127.0051229"
"99","11410","4"," ","184","37.5877305","126.9304098"
"1","11110","4","20101012","1","37.5811697","126.9880411"
"2","11110","4","20090327","1","37.5750462","126.9637984"
"3","11110","4"," ","1","37.6075361","126.9644124"
"13","11215","4"," ","1044","37.559239","127.0847067"
"16","11215","4","20071212","1328","37.5477442","127.1024597"
"19","11110","4"," ","1","37.5713771","127.0236451"
"20","11545"," "," ","0","37.4625698","126.9035563"
"21","11545"," "," ","0","37.4635823","126.9026327"
"24","11230","4"," ","2297","37.5656731","127.0624846"
"28","11545","4"," ","1334","37.4494891","126.9089366"
"31","11545","4"," ","587","37.4493406","126.9060878"
"35","11545","4"," ","572","37.4489443","126.9081245"
"38","11230","4"," ","2877","37.5642789","127.0600406"
"41","11215","3","20070821","2930","37.5387464","127.0759641"
"44","11230","4"," ","1664","37.5991802","127.061145"
"45","11110","4","20090327","1","37.5741301","126.9615472"
"48","11110","4"," ","1","37.5817631","127.0008963"
"62","11215","4"," ","1042","37.5593229","127.0852543"
"63","11215","4","20071212","2715","37.5478551","127.1034566"
"64","11215","4","20071212","147","37.5490629","127.1016691"
"66","11110","4","20091016","1","37.5717973","126.9853436"
"70","11545"," "," ","0","37.4583437","126.9043425"
"67","11110","4","20100903","1","37.5730439","126.9806361"
"72","11545","4"," ","410","37.4493716","126.9072975"
"76","11545","3"," ","584","37.4492057","126.9057151"
"80","11110","4","20100903","1","37.5719229","126.9811453"
"82","11110","4"," ","1","37.5802167","126.981463"
"84","11110","4","20101220","1","37.5802084","126.9842088"
"87","11215","4","20070723","2383","37.5478136","127.0869615"
"88","11215","4"," ","325","37.5475785","127.0688136"
"94","11290","4"," ","1","37.5962266","127.0168051"
"97","11410","4"," ","1978","37.5856746","126.9341783"
"100","11290","4","20100910","1","37.5872356","127.0052027"
