,시도명,시군구명,단속동,단속건수
2017,서울특별시,송파구,가락1동,2912
2018,서울특별시,송파구,가락1동,3903
2019,서울특별시,송파구,가락1동,1689
,,,가락1동 요약,8504
2017,서울특별시,송파구,가락2동,4196
2018,서울특별시,송파구,가락2동,2906
2019,서울특별시,송파구,가락2동,1324
,,,가락2동 요약,8426
2017,서울특별시,송파구,가락동,9155
2018,서울특별시,송파구,가락동,8340
2019,서울특별시,송파구,가락동,2185
,,,가락동 요약,19680
2017,서울특별시,송파구,가락본동,10848
2018,서울특별시,송파구,가락본동,11242
2019,서울특별시,송파구,가락본동,4446
,,,가락본동 요약,26536
2017,서울특별시,송파구,거여1동,1463
2018,서울특별시,송파구,거여1동,1794
2019,서울특별시,송파구,거여1동,796
,,,거여1동 요약,4053
2017,서울특별시,송파구,거여2동,2340
2018,서울특별시,송파구,거여2동,2057
2019,서울특별시,송파구,거여2동,342
,,,거여2동 요약,4739
2017,서울특별시,송파구,거여동,4508
2018,서울특별시,송파구,거여동,3794
2019,서울특별시,송파구,거여동,833
,,,거여동 요약,9135
2017,서울특별시,송파구,마천1동,2384
2018,서울특별시,송파구,마천1동,1799
2019,서울특별시,송파구,마천1동,586
,,,마천1동 요약,4769
2017,서울특별시,송파구,마천2동,2670
2018,서울특별시,송파구,마천2동,2365
2019,서울특별시,송파구,마천2동,1650
,,,마천2동 요약,6685
2017,서울특별시,송파구,마천동,1557
2018,서울특별시,송파구,마천동,1372
2019,서울특별시,송파구,마천동,182
,,,마천동 요약,3111
2017,서울특별시,송파구,문정1동,3567
2018,서울특별시,송파구,문정1동,3024
2019,서울특별시,송파구,문정1동,1288
,,,문정1동 요약,7879
2017,서울특별시,송파구,문정2동,10344
2018,서울특별시,송파구,문정2동,5955
2019,서울특별시,송파구,문정2동,2378
,,,문정2동 요약,18677
2017,서울특별시,송파구,문정동,11828
2018,서울특별시,송파구,문정동,12571
2019,서울특별시,송파구,문정동,4599
,,,문정동 요약,28998
2017,서울특별시,송파구,방이1동,2588
2018,서울특별시,송파구,방이1동,3599
2019,서울특별시,송파구,방이1동,2119
,,,방이1동 요약,8306
2017,서울특별시,송파구,방이2동,5192
2018,서울특별시,송파구,방이2동,8265
2019,서울특별시,송파구,방이2동,2806
,,,방이2동 요약,16263
2017,서울특별시,송파구,방이동,8324
2018,서울특별시,송파구,방이동,6633
2019,서울특별시,송파구,방이동,1735
,,,방이동 요약,16692
2017,서울특별시,송파구,삼전동,6782
2018,서울특별시,송파구,삼전동,6294
2019,서울특별시,송파구,삼전동,2980
,,,삼전동 요약,16056
2017,서울특별시,송파구,석촌동,7954
2018,서울특별시,송파구,석촌동,6774
2019,서울특별시,송파구,석촌동,2516
,,,석촌동 요약,17244
2017,서울특별시,송파구,송파1동,6798
2018,서울특별시,송파구,송파1동,5635
2019,서울특별시,송파구,송파1동,2396
,,,송파1동 요약,14829
2017,서울특별시,송파구,송파2동,1914
2018,서울특별시,송파구,송파2동,1990
2019,서울특별시,송파구,송파2동,532
,,,송파2동 요약,4436
2017,서울특별시,송파구,송파동,2461
2018,서울특별시,송파구,송파동,1332
2019,서울특별시,송파구,송파동,645
,,,송파동 요약,4438
2017,서울특별시,송파구,신천동,7886
2018,서울특별시,송파구,신천동,6372
2019,서울특별시,송파구,신천동,2950
,,,신천동 요약,17208
2017,서울특별시,송파구,오금동,8178
2018,서울특별시,송파구,오금동,7097
2019,서울특별시,송파구,오금동,2371
,,,오금동 요약,17646
2017,서울특별시,송파구,오륜동,2307
2018,서울특별시,송파구,오륜동,844
2019,서울특별시,송파구,오륜동,140
,,,오륜동 요약,3291
2017,서울특별시,송파구,위례동,6076
2018,서울특별시,송파구,위례동,572
2019,서울특별시,송파구,위례동,284
,,,위례동 요약,6932
2017,서울특별시,송파구,잠실2동,718
2018,서울특별시,송파구,잠실2동,1047
2019,서울특별시,송파구,잠실2동,164
,,,잠실2동 요약,1929
2017,서울특별시,송파구,잠실3동,584
2018,서울특별시,송파구,잠실3동,599
2019,서울특별시,송파구,잠실3동,363
,,,잠실3동 요약,1546
2017,서울특별시,송파구,잠실4동,868
2018,서울특별시,송파구,잠실4동,430
2019,서울특별시,송파구,잠실4동,45
,,,잠실4동 요약,1343
2017,서울특별시,송파구,잠실6동,2371
2018,서울특별시,송파구,잠실6동,1094
2019,서울특별시,송파구,잠실6동,670
,,,잠실6동 요약,4135
2017,서울특별시,송파구,잠실7동,5053
2018,서울특별시,송파구,잠실7동,3666
2019,서울특별시,송파구,잠실7동,189
,,,잠실7동 요약,8908
2017,서울특별시,송파구,잠실동,13676
2018,서울특별시,송파구,잠실동,9069
2019,서울특별시,송파구,잠실동,2991
,,,잠실동 요약,25736
2017,서울특별시,송파구,잠실본동,8452
2018,서울특별시,송파구,잠실본동,6882
2019,서울특별시,송파구,잠실본동,4048
,,,잠실본동 요약,19382
2017,서울특별시,송파구,장지동,3067
2018,서울특별시,송파구,장지동,3458
2019,서울특별시,송파구,장지동,1533
,,,장지동 요약,8058
2017,서울특별시,송파구,풍납1동,3028
2018,서울특별시,송파구,풍납1동,3156
2019,서울특별시,송파구,풍납1동,404
,,,풍납1동 요약,6588
2017,서울특별시,송파구,풍납2동,4884
2018,서울특별시,송파구,풍납2동,4482
2019,서울특별시,송파구,풍납2동,2815
,,,풍납2동 요약,12181
2017,서울특별시,송파구,풍납동,1989
2018,서울특별시,송파구,풍납동,2343
2019,서울특별시,송파구,풍납동,1284
,,,풍납동 요약,5616
,,,총합계,389955
